USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  23504 14808 ?        Ss   15:49   0:04 /sbin/init splash --- auto automatic-ubiquity noprompt
root         220  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_22]
root         221  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_22]
root         225  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_23]
root         226  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_23]
root         228  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_24]
root         229  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_24]
root         230  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_25]
root         232  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_25]
root         234  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_26]
root         235  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_26]
root         236  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_27]
root         238  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_27]
root         239  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_28]
root         240  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_28]
root         242  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_29]
root         243  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_29]
root         244  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_30]
root         245  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_30]
root         246  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_31]
root         247  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_31]
root         271  0.0  0.0      0     0 ?        I    15:49   0:01 [kworker/u514:27-loop0]
root         279  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_32]
root         280  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_32]
root         317  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-raid5wq]
root        1038  0.0  0.3  51156 14356 ?        S<s  15:49   0:00 /usr/lib/systemd/systemd-journald
root        1093  0.0  0.0      0     0 ?        I    15:49   0:02 [kworker/0:3-events]
root        1100  0.0  0.2  32152 10084 ?        Ss   15:49   0:01 /usr/lib/systemd/systemd-udevd
root        1105  0.0  0.0      0     0 ?        S    15:49   0:00 [psimon]
root        1174  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/57-vmw_vmci]
root        1175  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/58-vmw_vmci]
root        1177  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/59-vmw_vmci]
root        1187  0.0  0.0      0     0 ?        S    15:49   0:01 [irq/16-vmwgfx]
root        1188  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-ttm]
root        1449  0.0  0.0      0     0 ?        S<   15:49   0:00 [spl_system_task]
root        1450  0.0  0.0      0     0 ?        S<   15:49   0:00 [spl_delay_taskq]
root        1451  0.0  0.0      0     0 ?        S<   15:49   0:00 [spl_dynamic_tas]
root        1452  0.0  0.0      0     0 ?        S<   15:49   0:00 [spl_kmem_cache]
root        1485  0.0  0.0      0     0 ?        S<   15:49   0:00 [zvol_tq-0]
root        1486  0.0  0.0      0     0 ?        S    15:49   0:00 [arc_prune]
root        1487  0.0  0.0      0     0 ?        S    15:49   0:00 [arc_evict]
root        1488  0.0  0.0      0     0 ?        SN   15:49   0:00 [arc_reap]
root        1489  0.0  0.0      0     0 ?        S    15:49   0:00 [dbu_evict]
root        1490  0.0  0.0      0     0 ?        SN   15:49   0:00 [dbuf_evict]
root        1493  0.0  0.0      0     0 ?        SN   15:49   0:00 [z_vdev_file]
root        1494  0.0  0.0      0     0 ?        S    15:49   0:00 [l2arc_feed]
systemd+    1581  0.0  0.1  17556  7628 ?        Ss   15:49   0:01 /usr/lib/systemd/systemd-oomd
systemd+    1582  0.0  0.3  21708 13364 ?        Ss   15:49   0:00 /usr/lib/systemd/systemd-resolved
systemd+    1583  0.0  0.2  91044  8252 ?        Ssl  15:49   0:00 /usr/lib/systemd/systemd-timesyncd
avahi       1832  0.0  0.1   8664  4324 ?        Ss   15:49   0:00 avahi-daemon: running [ubuntu.local]
message+    1833  0.0  0.1  12120  7028 ?        Ss   15:49   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
